name,profession,age,ranking_visib_5criteria,date_added_to_alivewatch,risk_factor
Stella_Rimington,author,90,66599.5,2024-01-03,0.3320025
Quentin_Blake,writer,93,13453.0,2024-01-03,0.696735
Judith_Viorst,writer,94,93163.0,2024-01-03,0.331185
Tom_Skerritt,actor,92,6797.0,2024-01-03,0.697015
Kenneth_Copeland,actor,89,60231.0,2024-01-03,0.330845
John_Dean,attorney,87,47066.0,2024-01-03,0.33067
Flaco_Jim̩nez,music,86,40499.0,2024-01-03,0.330505
Nanette_Newman,actor,91,73580.0,2024-01-03,0.3301
Christian_Wolff_(composer),composer,91,73733.5,2024-01-03,0.3293325
Melvyn_Bragg,screenwriter,86,40889.5,2024-01-03,0.3285525
Michael_Dukakis,politician,92,6788.5,2024-01-03,0.6970575
Doc_Severinsen,bandleader,98,46186.0,2024-01-03,0.69807
Carl_Gottlieb,screenwriter,87,47711.0,2024-01-03,0.327445
Joan_O'Brien,actor,89,60980.0,2024-01-03,0.3271
P._J._Proby,singer,87,47790.0,2024-01-03,0.32705
Elaine_May,actor,93,13087.0,2024-01-03,0.698565
Peter_Eisenman,architect,93,13015.0,2024-01-03,0.698925
Herbert_Boyer,research,89,61335.0,2024-01-03,0.325325
Pippa_Scott,actor,90,68025.0,2024-01-03,0.324875
Ruzena_Bajcsy,computer_scientist,92,81242.0,2024-01-03,0.32479
Sara_Dylan,actor,86,41749.0,2024-01-03,0.324255
William_G._Dever,anthropologist,92,85132.0,2024-01-03,0.30534
Douglas_Hurd,conservative,95,24600.0,2024-01-03,0.707
Reggie_Workman,music,88,65377.0,2024-01-03,0.272115
Mary_Jo_Catlett,actor,87,57186.0,2024-01-03,0.28007
Claudette_Colvin,civil_rights,86,49453.0,2024-01-03,0.285735
Bob_Schieffer,television,88,62682.0,2024-01-03,0.28559
John_H._Sununu,politician,86,49576.5,2024-01-03,0.2851175
Bridget_Riley,painter,94,13226.0,2024-01-03,0.73087
Houston_Person,music,91,82711.5,2024-01-03,0.2844425
Dominic_Chianese,singer,94,12978.0,2024-01-03,0.73211
Efraim_Halevy,diplomat,91,82860.0,2024-01-03,0.2837
Iris_Johansen,novelist,87,56660.0,2024-01-03,0.2827
Rod_Paige,politician,92,89785.5,2024-01-03,0.2820725
Anjanette_Comer,actor,86,50257.0,2024-01-03,0.281715
Neil_Abercrombie,politician,87,56874.0,2024-01-03,0.28163
Ann_Jones_(tennis),player,87,57025.0,2024-01-03,0.280875
William_Kennedy_(author),writer,97,32580.0,2024-01-03,0.7331
Zohra_Lampert,actor,88,63850.0,2024-01-03,0.27975
Raymond_Berry,football,92,85514.0,2024-01-03,0.30343
Robert_Eisenman,anthropologist,88,64184.0,2024-01-03,0.27808
Joanne_Greenberg,novelist,93,97209.5,2024-01-03,0.2779525
Mamie_Van_Doren,actor,94,12766.0,2024-01-03,0.73317
Joan_Bennett_Kennedy,pianist,89,71050.0,2024-01-03,0.27675
